"comp","partysize","freq"
"All Adult",2,48.9262347499459
"All Children",2,50
"Mixed",2,28.1150097095951
"Total",2,36.3379157843728
"All Adult",3,1.07376525005408
"All Children",3,0
"Mixed",3,13.8401290350569
"Total",3,8.79018907480111
"All Adult",4,0
"All Children",4,0
"Mixed",4,6.63370728364498
"Total",4,4.01731307166642
"All Adult",5,0
"All Children",5,0
"Mixed",5,1.4074813523294
"Total",5,0.852357964117587
