"","PERTYPE","mtf","freq"
"1",1,1,9815
"2",1,2,402
"3",1,3,40
"4",1,5,3
"5",2,1,784
"6",2,2,52
"7",3,1,134
"8",3,2,3
"9",3,3,174
"10",3,4,6
"11",3,5,9
"12",6,1,33
"13",6,3,417
"14",6,4,22
"15",6,5,17
"16",7,3,2064
"17",7,4,76
"18",8,3,644
"19",8,4,22
