"OCOUNTY","DCOUNTY","trip_mode","tour_purpose","count"
"Ramsey","St. Croix","Auto 2 Person","Maintenance",1231.0811673731
"Washington","Washington","Auto 3+ Person","Discretionary",9928.91796848756
"St. Croix","St. Croix","Auto 3+ Person","Maintenance",5280.34886827392
"Hennepin","Hennepin","Auto 3+ Person","Escort",136713.542877879
"Hennepin","Ramsey","Auto SOV","Work",78231.3233211663
"Ramsey","Hennepin","Auto SOV","Work",70835.8416544252
"Hennepin","Hennepin","Auto 3+ Person","Work",42340.327013054
"Sherburne","Hennepin","Auto SOV","Maintenance",4262.18981275422
"Hennepin","Sherburne","Auto SOV","Maintenance",3396.99499931512
"Sherburne","Isanti","Auto 2 Person","Maintenance",710.850096484655
"Isanti","Anoka","Auto SOV","Maintenance",712.465529499832
"Anoka","Sherburne","Auto SOV","Maintenance",2908.3995148388
"Sherburne","Isanti","Walk","School",142.170019296931
"Isanti","Hennepin","Walk","School",142.170019296931
"Washington","St. Croix","Auto SOV","Maintenance",7785.01212707657
"St. Croix","Pierce","Auto SOV","Maintenance",2961.34078348565
"Ramsey","Ramsey","Auto 2 Person","University",1762.83835998177
"Ramsey","Ramsey","Auto SOV","University",10363.1181459546
"Ramsey","Ramsey","Walk","Discretionary",73408.584487542
"Ramsey","Ramsey","Auto 3+ Person","Work",16794.8905703489
"Ramsey","Ramsey","Auto SOV","Work",189746.696654732
"Ramsey","Ramsey","Auto 3+ Person","Escort",62517.9413136611
"Ramsey","Ramsey","Auto 3+ Person","School",39115.4062262632
"Ramsey","Hennepin","Auto 2 Person","Work",12190.5679733009
"Ramsey","Hennepin","Auto 2 Person","School",2569.40046310074
"Anoka","Ramsey","Auto SOV","Eating Out",1933.5953418463
"Anoka","Washington","Auto SOV","Maintenance",3878.00809244729
"Washington","Anoka","Auto SOV","Maintenance",2697.36682776678
"Anoka","Anoka","Auto SOV","Discretionary",43901.8737710329
"Sherburne","Wright","Auto 3+ Person","Work",138.578432157933
"Wright","Wright","Auto 3+ Person","Work",2601.10240330209
"Wright","Wright","Auto 2 Person","Discretionary",11387.672155928
"Wright","Sherburne","Auto 2 Person","Discretionary",2201.78685975958
"Sherburne","Sherburne","Auto 2 Person","Discretionary",4045.54049372789
"Sherburne","Wright","Auto SOV","Work",9102.38643144705
"Wright","Sherburne","Auto SOV","Work",7067.85744625725
"Sherburne","Sherburne","Auto SOV","Work",22946.813572441
"Wright","Sherburne","Auto SOV","Work-based",243.492025052958
"Sherburne","Wright","Auto SOV","Work-based",270.720247756094
"Sherburne","Sherburne","TNR-Transit","School",14960.3630289049
"Sherburne","Sherburne","Auto 3+ Person","Shop",4933.29694576062
"Sherburne","Wright","Auto 3+ Person","Shop",1796.96604004647
"Washington","Hennepin","Auto SOV","Maintenance",9803.56789962047
"Wright","Hennepin","Auto 2 Person","Work",3998.23282571621
"Hennepin","Wright","Auto SOV","Work",21410.4882531487
"Wright","Hennepin","Auto SOV","Maintenance",9666.19479324588
"Hennepin","Wright","Auto 2 Person","Maintenance",4020.89559805961
"Wright","Hennepin","Auto 2 Person","Visiting",2071.01401870851
"Hennepin","Wright","Auto 2 Person","Visiting",1499.16798469467
"Dakota","Hennepin","Auto 2 Person","Eating Out",1367.17035327353
"Rice","Dakota","Auto SOV","Work",4774.29376416231
"Dakota","Rice","Auto SOV","Work",4575.08449061509
"Dakota","Ramsey","Auto SOV","Maintenance",9091.08901934208
"Hennepin","Hennepin","Walk-Transit","Work",55654.6662453484
"Hennepin","Hennepin","Walk","Work",58840.8707122953
"Wright","Wright","Auto SOV","Maintenance",36444.0076580709
"Anoka","Hennepin","Auto SOV","Work",39189.9425782694
"Ramsey","Ramsey","Auto 3+ Person","Eating Out",16912.6560100895
"Ramsey","Ramsey","Walk","University",4844.60316040228
"Ramsey","Ramsey","Walk","Eating Out",9212.5262768587
"Dakota","Dakota","Auto 2 Person","Escort",64373.5239737012
"Dakota","Dakota","Auto 2 Person","Discretionary",34575.6820632084
