"","PERTYPE","TOURPURP","dow_num","freq"
"1",1,4,1,33150.5577384687
"2",1,4,2,42116.4517516213
"3",1,4,3,34311.7438740183
"4",1,4,4,54847.3917393749
"5",1,5,1,36802.1109291746
"6",1,5,2,40455.3837132772
"7",1,5,3,39254.7466224932
"8",1,5,4,46687.710317652
"9",1,6,1,135096.975822202
"10",1,6,2,133812.120991609
"11",1,6,3,137992.899056365
"12",1,6,4,122843.481407929
"13",1,7,1,17965.283753693
"14",1,7,2,21066.4050901125
"15",1,7,3,18785.9789880648
"16",1,7,4,25253.8249765006
"17",1,8,1,15390.9240803341
"18",1,8,2,17104.7107234459
"19",1,8,3,13764.4601652694
"20",1,8,4,21221.6859600759
"21",1,9,1,51410.393389152
"22",1,9,2,64356.3254212631
"23",1,9,3,67491.7266642282
"24",1,9,4,60891.8665265126
"25",2,4,1,6028.5075451982
"26",2,4,2,10450.5699010349
"27",2,4,3,9348.15675410572
"28",2,4,4,11851.9978453778
"29",2,5,1,8376.23105493053
"30",2,5,2,9636.54093277767
"31",2,5,3,8165.52536013179
"32",2,5,4,8482.11927295067
"33",2,6,1,17084.7030098065
"34",2,6,2,24333.5666227733
"35",2,6,3,21233.7153527394
"36",2,6,4,23797.1752984452
"37",2,7,1,3634.69998675566
"38",2,7,2,3982.27356319837
"39",2,7,3,3020.08387775884
"40",2,7,4,4870.46784240029
"41",2,8,1,4405.77811815734
"42",2,8,2,3554.48773867243
"43",2,8,3,3359.85759155214
"44",2,8,4,6545.46094280586
"45",2,9,1,8886.70819938017
"46",2,9,2,14488.9990217114
"47",2,9,3,14319.9405081556
"48",2,9,4,11434.9353688988
"49",3,4,1,3558.00171103463
"50",3,4,2,4948.17004836354
"51",3,4,3,6478.14800033251
"52",3,4,4,2860.75856145565
"53",3,5,1,2229.80146450282
"54",3,5,2,2998.92354912153
"55",3,5,3,1354.06705644533
"56",3,5,4,5508.58472095021
"57",3,6,1,12745.4468640085
"58",3,6,2,13954.6324115217
"59",3,6,3,12092.2186139332
"60",3,6,4,11222.4082003231
"61",3,7,1,1320.32157746865
"62",3,7,2,2023.89316810022
"63",3,7,3,1389.70787752933
"64",3,7,4,2454.0604036167
"65",3,8,1,3038.06302691195
"66",3,8,2,2431.69234968113
"67",3,8,3,1253.22409010174
"68",3,8,4,2098.95424626489
"69",3,9,1,2983.50105440588
"70",3,9,2,3460.03152808818
"71",3,9,3,3941.77895686125
"72",3,9,4,2819.71168642009
"73",4,4,1,7162.0771712817
"74",4,4,2,10830.8696996159
"75",4,4,3,12304.0514735278
"76",4,4,4,8457.22745882684
"77",4,5,1,8299.12490274211
"78",4,5,2,7319.11558695351
"79",4,5,3,10009.0924753732
"80",4,5,4,8753.87336154958
"81",4,6,1,2671.94127548084
"82",4,6,2,9868.94553814062
"83",4,6,3,3861.21970982126
"84",4,6,4,10244.5160094416
"85",4,7,1,3853.01116840446
"86",4,7,2,4640.21363547406
"87",4,7,3,3080.53767993201
"88",4,7,4,3263.20783374546
"89",4,8,1,2078.00361779841
"90",4,8,2,3378.64688689025
"91",4,8,3,3460.92838977829
"92",4,8,4,4006.14463444733
"93",4,9,1,8185.1187336914
"94",4,9,2,9408.71834064252
"95",4,9,3,6818.70381105727
"96",4,9,4,9898.78762880571
"97",5,4,1,6480.77964555087
"98",5,4,2,13155.0332396432
"99",5,4,3,6707.40638202116
"100",5,4,4,15003.5933682782
"101",5,5,1,13408.9846700493
"102",5,5,2,31600.5337929093
"103",5,5,3,35875.7783897646
"104",5,5,4,35488.7675129089
"105",5,6,1,9104.20420939539
"106",5,6,2,72138.1258052971
"107",5,6,3,47872.3501511085
"108",5,6,4,53170.0766485289
"109",5,7,1,5723.7384566991
"110",5,7,2,14698.4393269683
"111",5,7,3,12208.7413401172
"112",5,7,4,18152.364458511
"113",5,8,1,7940.83971771832
"114",5,8,2,12659.9593707392
"115",5,8,3,11058.1412318407
"116",5,8,4,8253.66021001269
"117",5,9,1,16349.4381523521
"118",5,9,2,44432.5585054352
"119",5,9,3,38268.3165898759
"120",5,9,4,34741.5435541826
"121",6,4,1,2358.84702730799
"122",6,4,2,2280.31821558287
"123",6,4,3,1699.74775467682
"124",6,4,4,2803.45740741163
"125",6,5,1,633.042752249655
"126",6,5,2,1132.70538681346
"127",6,5,3,981.939548831739
"128",6,5,4,1197.94178012347
"129",6,6,1,3595.80611250941
"130",6,6,2,4342.09417353202
"131",6,6,3,4042.09447825258
"132",6,6,4,2835.04008400148
"133",6,7,1,1863.41747798101
"134",6,7,2,2116.55084108133
"135",6,7,3,877.708780349802
"136",6,7,4,2258.9898966225
"137",6,8,1,1668.16800216601
"138",6,8,2,1111.24117825116
"139",6,8,3,2221.71806260841
"140",6,8,4,1121.41674554611
"141",6,9,1,2035.62059549487
"142",6,9,2,3130.62312465733
"143",6,9,3,751.888523328627
"144",6,9,4,1332.03863307368
"145",7,4,1,23803.6205152131
"146",7,4,2,25620.5188161113
"147",7,4,3,21541.0903126925
"148",7,4,4,28960.5155790171
"149",7,5,1,3609.21983327235
"150",7,5,2,4057.64781626231
"151",7,5,3,5275.9746280236
