"","tourmode1","tourmode2","tourmode3","tourmode4","tourmode5","tourmode6","tourmode7","tourmode8","tourmode9","tourmode10"
"1",5553133.95152094,899826.478904902,417956.130949062,0,0,57559.653181389,9360.124103603,0,0,0
"2",0,2795785.21318856,486889.880251201,0,0,30951.1691910886,5593.73624588448,0,0,0
"3",0,0,2452485.03273446,0,0,15353.6814424766,4472.68016702739,0,0,0
"4",143086.635169465,106772.97182265,66869.7908254137,801219.277246532,6851.69419559223,77971.6078054369,17936.6728519533,11750.4082919708,0,0
"5",5640.63917017391,6191.10209438816,3343.57429081063,0,119538.782225592,5749.09323458746,5469.47545904031,53.6171098582255,0,0
"6",0,0,0,0,0,356129.433589099,17396.6958953835,0,0,0
"7",0,0,0,0,0,0,47599.1293176758,0,0,0
"8",2068.4221435287,3359.30956875808,1597.07725117889,0,0,4779.41564301978,790.487269183476,24864.8110270083,0,0
"9",0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0
"11",26563.6598813156,21483.3296222841,14472.6257138959,2032.05692090047,386.552218740179,4895.48844415819,2558.72824813257,2276.23148886429,0,0
