"purpose","stop_purp","freq"
"work","1",7363.0937650728
"univ","1",2193.66573579981
"sch","1",336.339373444574
"esco","1",4155.7370821383
"imain","1",60909.6601127429
"idisc","1",9627.87645367884
"jmain","1",208.826969347958
"jdisc","1",880.156951121999
"atwork","1",0
"Total","1",85675.3564433471
"work","10",0
"univ","10",0
"sch","10",0
"esco","10",0
"imain","10",0
"idisc","10",0
"jmain","10",0
"jdisc","10",0
"atwork","10",0
"Total","10",0
"work","2",4509.08751598162
"univ","2",4067.60373250788
"sch","2",0
"esco","2",154.332735401971
"imain","2",6628.69651067365
"idisc","2",610.768708393854
"jmain","2",0
"jdisc","2",0
"atwork","2",0
"Total","2",15970.489202959
"work","3",1354.30262609482
"univ","3",0
"sch","3",19307.3827700348
"esco","3",14263.2794003689
"imain","3",10540.067088361
"idisc","3",5817.29064765108
"jmain","3",161.745003522543
"jdisc","3",21.6608881329442
"atwork","3",0
"Total","3",51465.728424166
"work","4",270045.954497382
"univ","4",7180.10152742592
"sch","4",40332.0382871132
"esco","4",200596.15372679
"imain","4",216440.814781377
"idisc","4",109167.496378855
"jmain","4",3222.68548094312
"jdisc","4",5551.05683068395
"atwork","4",1883.59584838753
"Total","4",854419.897358958
"work","5",267544.543945705
"univ","5",4393.00416744927
"sch","5",20492.0898033996
"esco","5",91350.7364124189
"imain","5",542338.638078377
"idisc","5",205918.363547321
"jmain","5",56626.6199158677
"jdisc","5",20612.537022252
"atwork","5",9335.36842437411
"Total","5",1218611.90131716
"work","6",290322.406569945
"univ","6",7530.97552292061
"sch","6",19087.0961579949
"esco","6",46660.2890770273
"imain","6",719456.944652179
"idisc","6",135164.122242062
"jmain","6",28110.0847146629
"jdisc","6",5348.29867940215
"atwork","6",32296.3890612247
"Total","6",1283976.60667742
"work","7",148085.034190537
"univ","7",5670.68395862986
"sch","7",16574.0776338134
"esco","7",66868.130822474
"imain","7",282231.429471875
"idisc","7",134552.969579464
"jmain","7",28424.6996918159
"jdisc","7",12353.0693982967
"atwork","7",21822.4940078612
"Total","7",716582.588754768
"work","8",44655.7724700105
"univ","8",1833.29702295411
"sch","8",8999.91952010977
"esco","8",28863.7848153689
"imain","8",123547.102431699
"idisc","8",122182.51495691
"jmain","8",6274.00131406785
"jdisc","8",6244.08397660436
"atwork","8",885.144521684987
"Total","8",343485.621029409
"work","9",94613.8910512854
"univ","9",5626.34548898548
"sch","9",12771.5635575676
"esco","9",30593.2857723867
"imain","9",125876.297467716
"idisc","9",223719.995866256
"jmain","9",6770.73912608366
"jdisc","9",11141.7835744013
"atwork","9",2766.07258940145
"Total","9",513879.974494083
