"","PERTYPE","freq"
"1",1,1583276.03044702
"2",2,238607.155151574
"3",3,122046.547405501
"4",4,140419.668516246
"5",5,432091.686815486
"6",6,109030.276845917
"7",7,508194.564445608
"8",8,209307.430648207
