"PERTYPE","tour0","tour1","tour2","tour3pl"
"1",1,8809,8262,2643,956
"2",2,880,1068,417,205
"3",3,340,504,166,53
"4",4,585,578,240,153
"5",5,1974,3232,1236,477
"6",6,634,255,36,11
"7",7,3012,1791,336,23
"8",8,1680,929,167,28
