"","work","univ","sch","esc","imain","idisc","jmain","jdisc","atwork"
"1",1874.81818211886,0,6045.95192446085,55719.5446899542,30914.942143695,35185.167968438,6166.73899209593,12041.0072168672,45786.7025621163
"2",4124.30521255154,0,10579.6286363771,161864.646970167,117156.030142555,123359.526887603,39110.9119684625,53102.5309022506,84887.9447858773
"3",2091.24990178745,426.589291381835,4499.17821266207,67590.7925127826,116374.832552305,97513.3107205066,55621.660245975,47873.4101807653,44933.2157417897
"4",4367.77636623232,1579.75802634203,3978.21074335087,39512.3419414115,95926.7883436899,105953.645600188,34338.2041431168,50577.0855921639,28041.9622080284
"5",5347.50453928068,181.365085798224,3055.73332499612,27866.6218024234,87926.1265640019,80406.6799989253,24195.2775525898,38549.6115012746,8940.43386313378
"6",6894.24818943476,857.612063476943,3386.96229098327,23542.1084217859,67629.2589624206,69048.7985756315,23669.5007750989,25684.1601237241,9719.71215905321
"7",9112.07861845914,126.658249574695,1256.52458088475,11222.3702037455,44528.2330286343,51292.7688445168,14703.888704201,26287.6635517823,4853.82468182246
"8",15881.3409268726,1521.31250660975,4172.79572452757,12817.0239196476,52505.1342216328,42896.5096537531,7381.8290298192,15694.9922736574,2313.58750038401
"9",10521.3621882589,894.304826881393,881.27470016408,9019.40892567273,31028.6156503902,31332.0320526334,2956.52715997393,11832.2349125068,2680.90420873053
"10",15248.9902773673,1727.38157056297,1184.2833474882,4543.02070227979,25038.276042739,26284.6579425345,2590.01838120853,6039.53871788346,1468.53473398582
"11",16966.8992293943,1846.41880157697,3854.59224258023,4841.04894336843,22249.8831218349,22887.594585906,1681.81379666845,5913.8599669171,682.941999055002
"12",17496.0121437382,2466.49668775804,2863.18672465108,6586.78480423528,20793.218588589,14972.0726644538,341.455168303771,2514.7315470748,445.456897946561
"13",20484.9952189763,3094.91682335785,5330.04091346854,2876.28886305136,16980.7095732588,8526.20348067952,1468.07178453536,2476.80857307149,415.051117019423
"14",18429.3014749554,2599.79875070142,10585.2022215264,3001.98374998033,21495.5816726821,8534.48254923891,556.839498064458,2710.36169444635,2116.87416335767
"15",22338.9211869913,2511.57605250631,27893.155955401,4869.70843853547,16016.5679695223,8802.54247748505,6742.30131931227,186.774062466252,720.574401114503
"16",28322.8032138656,433.887962887849,53798.0291387171,4631.93313446469,14223.7668812819,6151.60372643527,0,257.000935947495,385.841394045343
"17",29008.8892004124,2012.02320659426,41717.0285690378,5237.14701031895,19767.8815084884,6730.78635029287,0,336.452657311365,725.385690434008
"18",48553.0873893308,909.976115891423,31971.705194435,7303.03919516326,19438.5670210854,4161.06300061041,0,135.385128892653,608.454957455292
"19",87435.0486044394,653.200630139855,24063.5056535707,10103.0211087682,23132.5263877649,3769.58261565976,55.6183061854001,0,21.038786620632
"20",137177.76489014,1613.18947463178,16151.0069751697,12784.0655034715,32696.4258584396,3661.86041279655,1286.78230316515,99.6638813839329,14.3974376518743
"21",127784.693326859,49.1249685130418,18880.2482136204,8285.82325346296,38249.8447831618,3329.19943327793,792.963774264822,0,68.1336265290984
"22",109453.184447472,732.096133350078,11875.6726767695,10289.4029734723,32017.193311307,3387.82719057673,1052.84479293263,0,1407.34490691032
"23",68977.58755104,192.827316214792,5805.47714469745,6626.1071399033,25061.9845438998,2626.44129002751,48.8677293521652,0,12.4029238656475
"24",55878.4268825057,1215.55655795055,4371.26783322155,2841.8283676724,16751.9721733202,7127.96337197064,0,0,0
"25",39818.0156332551,517.552463583254,5873.89222654306,2156.4384452105,13169.0892231334,1404.44607158643,0,0,52.3162174651442
"26",32660.99889655,152.494441473966,4900.3458119844,1069.35522550425,8578.04454874497,800.873597358722,0,0,0
"27",15482.9415756205,255.242930726809,2240.11435570531,500.002681568388,7282.53431392206,1168.01226158806,0,48.7007276613003,52.3162174651442
"28",16103.7114531167,729.876871637752,2271.3765859945,1476.33768989336,3951.44540566911,194.105169999443,0,0,0
"29",12413.2206516229,13.012386824976,333.588128447598,307.826929103855,4265.20081470701,842.659736158267,0,0,0
"30",11022.9563684917,1023.79539321577,54.1317247522538,304.350430543977,3135.60528385913,1076.41812757099,0,0,0
"31",4889.5865118135,0,515.495064612247,378.377666788657,1819.51749186318,302.393632907161,0,0,0
"32",2695.42345622164,202.997104549302,13.3679229419483,75.7085416956518,1369.69578998373,296.154663809099,0,0,0
"33",1046.45855163163,0,682.345621085364,32.763013868919,1072.28732945941,49.8044406235749,0,0,0
"34",2158.61546031857,0,12.5130464803358,0,707.917811903779,0,0,0,0
"35",448.218196246902,0,0,0,329.799647626194,247.435984686781,0,0,0
"36",62.1902476629849,0,0,0,0,78.0150676380125,0,0,0
"37",0,0,0,0,0,0,0,0,0
"38",12.2491379645175,0,0,0,168.755465367449,36.6083384995887,0,0,0
"39",53.4191250286321,0,0,0,0,0,0,0,0
"40",323.391123691559,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0
