"purpose","avgTripLength"
"esco",6.00063593484389
"imain",8.9581934814638
"idisc",6.48329892964264
"jmain",6.87218414262261
"jdisc",6.31566799195302
"atwork",3.74046204787704
"Total",7.13386667284018
