"purpose","avgDist"
"work",3.81880510142943
"univ",2.28352941176471
"sch",4.42103359173127
"esco",4.14072666404096
"imain",4.42796320367963
"idisc",3.47737393370046
"jmain",3.38823674475956
"jdisc",2.90363327674024
"atwork",2.80246187363834
"total",4.24726497347791
