"","work","univ","sch","imain","idisc","jmain","jdisc","atwork"
"1",36648.1104517668,3521.32505013679,0,29827.6930549789,15924.1633643822,0,0,5023.6279235504
"2",23609.3588313288,342.877642947716,944.357463802568,31833.5304940565,9141.34237851327,11821.6523211136,3847.37576977041,3747.35757460067
"3",6015.35803754196,0,2658.98279356647,14186.1782540579,6741.68843552761,2701.0697559815,2070.12636826209,1862.96777604259
"4",3594.28576012145,837.718634497591,611.635230280809,2673.0791009249,10619.7168753646,2392.08984142641,6008.85425373289,5298.54944065093
"5",2081.25576803671,702.236497196144,0,2174.32679017303,504.675150088864,0,2191.67951330615,25.7667271784232
"6",8722.58846674226,791.947392339209,362.026775047979,5871.42893511483,229.03722316257,0,0,3121.02693051854
"7",497.573270416184,0,0,602.899718211112,267.280722305787,0,0,0
"8",630.082002174429,0,0,35.1425624482742,56.6520986081382,0,0,18.4171272043676
"9",0,0,2816.76188745266,737.452645538157,73.8714097729866,0,0,0
"10",0,0,0,0,0,0,0,0
"11",12.3622943783688,0,0,516.171571119869,192.099980496855,0,568.620997496337,0
