"","HHSIZE","JOINT","freq"
"1",2,0,413062.206300096
"2",2,1,131710.425274977
"3",3,0,146553.564294967
"4",3,1,75178.650185491
"5",4,0,121722.763742914
"6",4,1,70561.1083564807
"7",5,0,74805.9515030808
"8",5,1,59649.4540234487
