"","PERTYPE","nmtours","freq"
"1","1","0",8809
"2","2","0",880
"3","3","0",340
"4","4","0",585
"5","5","0",1974
"6","6","0",634
"7","7","0",3012
"8","8","0",1680
"9","Total","0",17914
"10","1","1",8262
"11","2","1",1068
"12","3","1",504
"13","4","1",578
"14","5","1",3232
"15","6","1",255
"16","7","1",1791
"17","8","1",929
"18","Total","1",16619
"19","1","2",2643
"20","2","2",417
"21","3","2",166
"22","4","2",240
"23","5","2",1236
"24","6","2",36
"25","7","2",336
"26","8","2",167
"27","Total","2",5241
"28","1","3pl",956
"29","2","3pl",205
"30","3","3pl",53
"31","4","3pl",153
"32","5","3pl",477
"33","6","3pl",11
"34","7","3pl",23
"35","8","3pl",28
"36","Total","3pl",1906
