"","esco","imain","idisc","jmain","jdisc","atwork"
"1",68057.7937530951,184710.262694021,161210.839289852,22087.8541837557,59806.9987746276,80053.7916688942
"2",90282.4414056117,143252.037434189,118727.161404841,32427.3688996582,45282.0856946781,33276.109250443
"3",70231.058589512,107450.290365865,109457.354289101,30651.7019481474,29491.5255706416,30534.4601076567
"4",67542.5508749932,102169.62611484,70703.5687922983,18290.412207027,25185.3528040642,21531.2959922767
"5",41474.7948540268,88787.6293840686,65344.8577763685,21031.0172464621,28248.0235498658,17419.012626445
"6",39516.2873099087,60563.0491306042,47065.6272413506,19141.3479738671,16604.4177755117,12321.4607714437
"7",27320.6188296091,53775.2218584041,32182.2549557147,13451.872414086,13474.9828433796,5134.52072268477
"8",34026.0744996969,49169.3807197595,28759.3278669304,9391.32613809407,17575.6336977924,6589.01588244482
"9",17790.3770165953,39137.0191158211,23545.0140327896,10260.4476735466,8532.85132907857,4802.6593511127
"10",22588.108415006,36287.7661747516,26906.6123723948,6766.10918761082,7407.87237839423,2255.76010536525
"11",9529.10609326889,39453.04842938,19407.7766485207,2703.24760764517,3616.71565126454,1716.02646030238
"12",8912.04082867654,35032.4838804489,18714.8580383031,5408.60812155734,4005.07041817683,911.083153697621
"13",7444.15976208648,27797.2987770834,12683.0914309742,4974.35650208847,6385.22861803162,4044.573198511
"14",10909.6379193226,24925.1966782876,14135.1085783405,6349.31246618245,5820.43770423403,5565.06991832011
"15",6095.0526598733,23842.6491728028,6945.74332795244,2614.93206596205,2239.60920937836,738.065328263812
"16",7413.65180169888,24202.9503146064,16118.2863480269,2126.97346414337,6418.05678105889,683.273789138862
"17",1709.71671844245,19661.22813154,9669.04248678316,818.468379970524,3234.81033985375,331.024485235934
"18",4648.97083626672,14744.819701686,6760.26970399444,850.174404682819,4260.94901633553,1602.08311133863
"19",5221.22776644303,17866.8346766199,6653.50208610422,106.388559335138,1412.33371795617,689.959633410838
"20",2039.81131090993,18324.7442170673,7859.75405789279,2861.72001521527,2001.42626192899,303.387777221042
"21",4094.81308103266,16737.0139236347,4291.28513125803,3965.91570020874,1086.62549888571,264.597777709961
"22",2348.04818581456,10672.4057495281,5340.10619834908,1431.57643489144,1276.13100266535,1027.11894435339
"23",818.982678090555,11406.1514715099,3614.54501911069,1447.77012554183,1024.28264767193,313.56573857639
"24",1303.78171428408,12440.3095086148,2764.87284679585,2098.53725357716,1456.31483631523,87.4710970558431
"25",1620.43612156407,5850.86451537387,2983.13740317904,592.087766868145,1418.51437858685,107.450826070141
"26",2372.92787949405,9004.51662290888,1751.31032775181,1756.25391524503,0,152.273391307372
"27",1166.16931820257,12113.8447891255,5056.40481283599,0,483.815451394694,190.793519682986
"28",308.368672232473,4610.26885306389,1278.9238713145,288.839178622844,49.4366201509199,176.468690260952
"29",1474.75541187143,7203.78284776751,3803.59627853898,277.17555448561,2774.13857949077,414.439947015878
"30",116.238999674764,6082.79281066128,1904.34671136019,973.315992459099,247.13974051433,35.4529098333497
"31",1977.5368526885,6017.3901396589,1904.6347132847,1547.99865422059,2406.17057030909,112.757549142979
"32",26.8015217195765,2473.2952188781,1170.54820665604,0,1176.35262658502,0
"33",534.143078365584,2706.65308164902,989.839722778253,953.781978310491,176.066308538831,0
"34",234.375427005736,4657.32785499575,1551.68720561243,1514.76356977076,913.078017980064,0
"35",120.270699966533,3171.71431535099,1062.82001004803,154.131610318432,1318.45001253691,127.658492422996
"36",51.0735401775972,3929.86795855437,545.125434345675,0,809.678028813046,0
"37",391.276340167922,2166.12802251971,1039.30618387443,950.336250083511,86.5460147201091,28.5529319989084
"38",18.254663751485,1372.90794768821,981.637567735412,136.713729346422,942.097247011891,17.0048013416881
"39",293.068076755779,1604.29268023238,1017.72405976255,0,251.270486391716,0
"40",867.351633756257,2412.18947663702,346.685462448089,118.174756302492,0,13.5063145007977
"41",3856.43692273719,28237.6080958797,10635.3958844184,196.735257896864,648.902308214616,1082.67089647206
