"","PERTYPE","DAP","freq"
"1","1","H",1299
"2","2","H",263
"3","3","H",113
"4","4","H",408
"5","5","H",1490
"6","6","H",183
"7","7","H",818
"8","8","H",644
"9","Total","H",5218
"10","1","M",10260
"11","2","M",836
"12","3","M",326
"13","4","M",0
"14","5","M",0
"15","6","M",489
"16","7","M",2140
"17","8","M",666
"18","Total","M",14717
"19","1","N",9111
"20","2","N",1471
"21","3","N",624
"22","4","N",1148
"23","5","N",5429
"24","6","N",264
"25","7","N",2204
"26","8","N",1494
"27","Total","N",21745
