HH_ID,JTOUR_ID,NUMBER_HH,PERSON_1,PERSON_2,PERSON_3,PERSON_4,PERSON_5,PERSON_6,PERSON_7,PERSON_8,PERSON_9,COMPOSITION,JOINT_PURP
18425281,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18427824,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18435928,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18440314,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18456641,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,1
18464186,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,4
18464186,2,2,1,6,nan,nan,nan,nan,nan,nan,nan,3,6
18464186,3,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,6
18465550,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18469707,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,3
18469707,2,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,4
18470377,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,9
18476049,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,3
18476049,2,2,4,5,nan,nan,nan,nan,nan,nan,nan,2,3
18477207,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18483234,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18506339,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18508589,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18508589,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18512571,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18513914,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18514914,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,3
18524882,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18526568,1,4,1,4,5,6,nan,nan,nan,nan,nan,3,7
18527339,1,2,1,5,nan,nan,nan,nan,nan,nan,nan,3,4
18530217,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,3
18531252,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18537105,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18537949,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,4
18540566,1,2,1,4,nan,nan,nan,nan,nan,nan,nan,3,3
18540738,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,3
18548989,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18549990,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18550132,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,7
18564440,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,4
18564440,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,4
18564440,3,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,4
18582265,1,4,1,2,3,4,nan,nan,nan,nan,nan,3,7
18590560,1,3,2,3,5,nan,nan,nan,nan,nan,nan,3,3
18590560,2,2,2,5,nan,nan,nan,nan,nan,nan,nan,3,4
18590713,1,2,2,4,nan,nan,nan,nan,nan,nan,nan,3,4
18590713,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18595133,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,3
18595133,2,3,1,2,4,nan,nan,nan,nan,nan,nan,3,5
18595717,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,5
18599066,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18599066,2,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,4
18606671,1,3,1,2,5,nan,nan,nan,nan,nan,nan,3,5
18607214,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,1,5
18607456,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,6
18614139,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18618715,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18621030,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,7
18621030,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,5
18646518,1,3,1,3,4,nan,nan,nan,nan,nan,nan,3,4
18649513,1,3,2,3,4,nan,nan,nan,nan,nan,nan,3,9
18656242,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18656651,1,4,1,2,3,4,nan,nan,nan,nan,nan,3,5
18662735,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,4
18666777,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,9
18670274,1,4,1,2,3,4,nan,nan,nan,nan,nan,3,7
18678930,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,3
18682239,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,7
18682564,1,2,3,4,nan,nan,nan,nan,nan,nan,nan,2,3
18682564,2,2,1,5,nan,nan,nan,nan,nan,nan,nan,3,1
18682564,3,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,7
18685329,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,6
18685329,2,3,2,3,4,nan,nan,nan,nan,nan,nan,3,6
18685663,1,2,2,3,nan,nan,nan,nan,nan,nan,nan,3,9
18686813,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,5
18687050,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,8
18694058,1,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,3
18694058,2,2,1,3,nan,nan,nan,nan,nan,nan,nan,3,6
18695386,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,3,5
18698805,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
18699830,1,2,1,2,nan,nan,nan,nan,nan,nan,nan,1,9
