HH_ID,PER_ID,TOUR_ID,TRIP_ID,LEG_DEST_PLACENO,JTRIP_ID,NUMBER_HH,CHAUFFUER_ID,ORIG_DEP_HR,ORIG_DEP_MIN,DEST_ARR_HR,DEST_ARR_MIN,DEST_PURP,PARTY,ERROR
18117111,2,1,1,2,1,2,2,13,29,13,34,4,2_4,""
18117111,4,1,1,2,1,2,2,13,29,13,34,4,2_4,""
18117111,2,1,2,3,2,2,2,13,34,13,46,4,2_4,""
18117111,4,1,2,3,2,2,2,13,34,13,46,4,2_4,""
18117111,2,1,3,4,3,3,2,14,2,14,12,5,2_3_4,""
18117111,3,1,1,2,3,3,2,14,2,14,12,5,2_3_4,""
18117111,4,1,3,4,3,3,2,14,2,14,12,5,2_3_4,""
18117111,2,1,4,5,4,3,2,15,2,15,15,0,2_3_4,""
18117111,3,1,2,3,4,3,2,15,2,15,15,0,2_3_4,""
18117111,4,1,4,5,4,3,2,15,2,15,15,0,2_3_4,""
18117111,2,2,1,6,5,3,2,16,18,16,24,5,2_3_4,""
18117111,3,2,1,4,5,3,2,16,18,16,24,5,2_3_4,""
18117111,4,2,1,6,5,3,2,16,18,16,24,5,2_3_4,""
18117111,2,2,2,7,6,3,2,16,25,16,32,5,2_3_4,""
18117111,3,2,2,5,6,3,2,16,25,16,32,5,2_3_4,""
18117111,4,2,2,7,6,3,2,16,25,16,32,5,2_3_4,""
18117111,2,2,3,8,7,3,2,16,32,16,39,0,2_3_4,""
18117111,3,2,3,6,7,3,2,16,32,16,39,0,2_3_4,""
18117111,4,2,3,8,7,3,2,16,32,16,39,0,2_3_4,""
18118923,2,1,1,2,1,2,2,11,2,11,29,1,1_2,""
18118923,1,1,1,2,1,2,2,11,3,11,43,9,1_2,""
18118923,2,1,2,3,nan,2,2,22,10,22,34,5,1_1_2,"E: Number of joint trips departing at 22:10 differs from at least one of the reported travel group size"
18118923,2,1,3,4,2,2,nan,22,46,22,52,5,1_2,""
18118923,1,1,8,9,2,2,nan,22,47,22,53,5,1_2,""
18118923,2,1,4,5,3,2,2,23,13,23,22,0,1_2,""
18118923,1,1,9,10,3,2,2,23,15,23,19,0,1_2,""
18119982,1,1,1,2,1,2,1,9,18,9,25,4,1_4,""
18119982,4,1,1,2,1,2,1,9,18,9,25,3,1_4,""
18119982,3,1,2,3,2,2,1,10,55,11,11,7,1_3,""
18119982,1,2,2,5,2,2,1,11,2,11,11,7,1_3,""
18119982,1,2,3,6,3,2,1,11,12,11,20,0,1_3,""
18119982,3,1,3,4,3,2,1,11,12,11,20,0,1_3,""
18119982,1,3,1,7,4,2,1,14,0,14,20,9,1_3,""
18119982,3,2,1,5,4,2,1,14,0,14,20,5,1_3,""
18119982,1,3,2,8,5,2,1,15,11,15,29,7,1_3,""
18119982,3,2,2,6,5,2,1,15,11,15,29,7,1_3,""
18119982,1,3,3,9,6,2,1,15,29,15,34,7,1_3,""
18119982,3,2,3,7,6,2,1,15,29,15,34,7,1_3,""
18119982,1,3,4,10,7,2,1,15,34,15,45,0,1_3,""
18119982,3,2,4,8,7,2,1,15,34,15,45,0,1_3,""
18119982,1,4,1,11,8,3,1,17,3,17,12,4,1_3_4,""
18119982,3,3,1,9,8,3,1,17,3,17,12,4,1_3_4,""
18119982,4,2,1,4,8,3,1,17,3,17,12,4,1_3_4,""
18119982,1,4,2,12,9,2,1,17,12,17,22,0,1_4,""
18119982,4,2,2,5,9,2,1,17,12,17,22,0,1_4,""
18119982,1,5,1,13,10,2,1,17,54,18,0,4,1_4,""
18119982,4,3,1,6,10,2,1,17,54,18,0,3,1_4,""
18119982,1,5,4,16,11,2,1,19,38,19,41,7,1_4,""
18119982,4,3,2,7,11,2,1,19,38,19,41,7,1_4,""
18119982,1,5,5,17,12,2,1,19,45,19,51,0,1_4,""
18119982,4,3,3,8,12,2,1,19,45,19,51,0,1_4,""
18120511,4,1,1,2,1,2,nan,8,55,9,15,3,4_5,""
18120511,5,1,1,2,1,2,nan,8,55,9,15,3,4_5,""
